================================================================================
SECTION: TID mapping interpretation boundary
SOURCE: D:\data\output\202608251619_F0041_perf_evidence_pm1p2s\04_perception_threads\TID_MAPPING_NOTE.md
================================================================================
# F41 TID 识别边界

- Apollo trace 的 F41 `proc_enter` 和 `output_pub` 两个标记都记录 `PID=134323, TID=134453`。
- 采集前 `ps -L` 快照确认 TID 134453 属于 perception 主进程 134323；线程名为 `mainboard`，调度类为 `TS/SCHED_OTHER`，实时优先级为 0，CPU 亲和力为 `0-11`。
- `timehist_target_tid.txt` 证明该 TID 在所提取窗口内有调度活动，但“窗口内出现该 TID”本身不能证明每个 P4 时刻都由它实际执行。
- 逐标记交叉检查显示：`output_pub` 落在 TID 134453 的可重建运行片段内；`proc_enter` 没有落在该 TID 的可观察运行片段内。因此，134453 应称为 **trace 记录的候选 Cyber worker TID**，不能在未解释这一不一致前写成“F41 全部 P4 阶段已由 perf 严格确认的实际 worker”。
- Linux TID 对应可复用 Cyber worker，不表示该线程永久绑定 `LidarDetection` 协程。

相关证据：`f41_trace_tid_markers.csv`、`f41_trace_tid_schedule_crosscheck.csv`、`perception_threads.csv`，以及 `01_timehist/frames/F0041/timehist_target_tid.txt`。

================================================================================
SECTION: F41 trace TID markers
SOURCE: D:\data\output\202608251619_F0041_perf_evidence_pm1p2s\04_perception_threads\f41_trace_tid_markers.csv
================================================================================
"run_id","schema_version","event_id","trace_id","proc_id","module","phase","mono_ns","pid","tid"
"202608251619","e2e_trace_v3","677","72071556976609712","0","perception.lidar_detection","proc_enter","2526770197921120","134323","134453"
"202608251619","e2e_trace_v3","699","72071556976609712","0","perception.lidar_detection","output_pub","2526770393263200","134323","134453"

================================================================================
SECTION: F41 trace TID versus perf schedule cross-check
SOURCE: D:\data\output\202608251619_F0041_perf_evidence_pm1p2s\04_perception_threads\f41_trace_tid_schedule_crosscheck.csv
================================================================================
marker,marker_time_s,trace_pid,trace_tid,observed_run_start_s,observed_run_end_s,status,notes
proc_enter,2526770.197921120,134323,134453,,,not_inside_observed_run,"Nearest TID 134453 switch-out is 2526770.185490; next reconstructed run starts at about 2526770.284994."
output_pub,2526770.393263200,134323,134453,2526770.390735,2526770.395989,inside_observed_run,"Run start is reconstructed from the timehist switch-out timestamp minus run time; output_pub lies inside this slice."

================================================================================
SECTION: perception process identity
SOURCE: D:\data\output\202608251619_F0041_perf_evidence_pm1p2s\04_perception_threads\perception_process.txt
================================================================================
host_pid=134323
cmdline=mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT

================================================================================
SECTION: machine-readable perception thread inventory
SOURCE: D:\data\output\202608251619_F0041_perf_evidence_pm1p2s\04_perception_threads\perception_threads.csv
================================================================================
"PID","TID","PSR","CLS","RTPRIO","PRI","NI","STAT","CPU_PERCENT","COMM","CMDLINE"
"134323","134323","1","TS","-","19","0","Sl","4.4","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134447","10","TS","-","19","0","Sl","0.3","bvar_sampler","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134448","11","TS","-","19","0","Sl","1.6","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134449","6","TS","-","19","0","Sl","3.8","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134450","5","TS","-","19","0","Sl","3.3","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134451","1","TS","-","19","0","Sl","3.9","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134452","11","TS","-","19","0","Sl","3.5","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134453","8","TS","-","19","0","Sl","3.6","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134454","2","TS","-","19","0","Sl","4.1","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
"134323","134455","10","TS","-","19","0","Sl","4.0","mainboard","mainboard -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_front.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_front.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_front.dag -d modules/perception/camera_tracking/dag/camera_tracking_front.dag -d modules/perception/camera_detection_multi_stage/dag/camera_detection_multi_stage_rear.dag -d modules/perception/camera_location_estimation/dag/camera_location_estimation_rear.dag -d modules/perception/camera_location_refinement/dag/camera_location_refinement_rear.dag -d modules/perception/camera_tracking/dag/camera_tracking_rear.dag -d modules/perception/pointcloud_preprocess/dag/pointcloud_preprocess.dag -d modules/perception/pointcloud_map_based_roi/dag/pointcloud_map_based_roi.dag -d modules/perception/pointcloud_ground_detection/dag/pointcloud_ground_detection.dag -d modules/perception/lidar_detection/dag/lidar_detection.dag -d modules/perception/lidar_detection_filter/dag/lidar_detection_filter.dag -d modules/perception/lidar_tracking/dag/lidar_tracking.dag -d modules/perception/radar_detection/dag/radar_detection_front.dag -d modules/perception/multi_sensor_fusion/dag/multi_sensor_fusion.dag -p perception -s CYBER_DEFAULT"
