run_id,event_id,event_kind,label,t_wall_s,relative_t1_ms,clock_domain,lineage_grade,source_file,source_locator,uncertainty_or_limit
202607271643,E00,temporal_stressor_onset,SCB first effective-brake trigger/receive,1785141826.617723,-22236.78493499756,bridge wall epoch,A for logged APPLIED row; persistence from implementation documentation,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/scb_control_delay_20260727164101_910365.csv,"CSV APPLIED row, sequence=1",subsequent delayed commands suppressed from CSV
202607271643,E01,sensor_sample/physical_cause,t1: first frame of 3-frame stable target sequence,1785141848.854508,0.0,sensor source/wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,line 11056; trace_id=17293989273963333032,"event definition, not a safety deadline"
202607271643,E02,publish,stable Fusion output,1785141849.173793,319.28515434265137,wall epoch aligned from trace,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,line 11056; trace_id=17293989273963333032,log-header and trace E2E differ by 0.094 ms
202607271643,E03,publish,Prediction static-target output,1785141849.1804838,325.9758949279785,wall epoch aligned from trace,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/prediction.log.INFO.20260727-164122.1218454,line 288; trace_id=17293989273963333032,static semantics verified for 20/20 target observations
202607271643,E04,decision,Planning STOP for target 6,1785141849.189117,334.6090316772461,wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/planning.log.INFO.20260727-164122.1218458,line 186577,STOP exists; subsequent speed optimizer falls back
202607271643,E05,publish,Planning fallback trajectory output,1785141849.193361,338.853120803833,wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/planning.log.INFO.20260727-164122.1218458,line 186600,"status_ok=1, 98 points, but constant-deceleration fallback"
202607271643,E06,command,Control output for causal trace,1785141849.207122,352.614164352417,monotonic trace anchored to source wall time,A to Control output,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/trace/message_context/control.1218460.csv,trace_id=17293989273963333032; cmd_write_enter/output_pub,command payload and event-local Bridge apply row absent
202607271643,E07,physical_effect,t2: first sustained deceleration sample,1785141849.748378,893.8701152801514,wall epoch,C from Control output to physical effect,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,first 2 consecutive intervals <= -0.5 m/s^2 plus 0.3 m/s confirmation,"sample bracket [793.594, 893.870] ms"
202607271643,E08,freshness_degradation,largest target Fusion output gap begins,1785141850.835128,1980.6201457977295,wall epoch,A for target Fusion outputs,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,trace 17293989273963333049 -> 17293989273963333050,"gap=115.906 ms; occurs after t2, not explanatory for initial response"
202607271643,E09,outcome,CARLA collision,1785141851.3477566,2493.248701095581,bridge wall epoch,direct physical outcome; causal attribution unresolved,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_events_20260727164411.csv,"CSV row 2, collision_seq=1","collision proves outcome, not deadline miss or sole cause"
