evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,semantic_role,reference_type,distribution_scope,causal_lineage_grade
EV.CLOCK.1643,202607271643,P_CLOCK,clock_alignment_p95_residual_ms,0.7202029228210449,ms,OBSERVED_DERIVED,cross-domain alignment audit,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_actor_history_20260727164411.csv,156 CARLA simulation/wall pairs; 152 robust-fit inliers,AVAILABLE,HIGH,P_CLOCK.1643,,p95 bound; max residual includes impact-adjacent outliers,CLOCK_ALIGNMENT,,,
EV.PHASE.1643,202607271643,P_PHASE,active_phase_scan,not performed,status,MISSING,mixed,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643,single-run input inventory,MISSING,HIGH,,P_PHASE.1643|C7.1643,phase effect cannot be isolated,PHASE_AUDIT_GAP,,,
EV.TARGET.1643,202607271643,P_TARGET,target_identity_matched_frames,20,frames,TRACE_LINEAGE,wall epoch and trace ids,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462|/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_actor_history_20260727164411.csv,"target=6, trace=17293989273963333032, actor=155; median position error=1.602 m",AVAILABLE,HIGH,P_TARGET.1643,,other-actor history begins 399.215 ms after t1,TARGET_LINEAGE,,,
EV.FAULT.1643,202607271643,L1,bridge_fixed_delay_actual_wall_ms,300.099534,ms,DIRECT_OBSERVED,Bridge wall/monotonic/CARLA frame,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/scb_control_delay_20260727164101_910365.csv,APPLIED row sequence=1; requested=300 ms; 3 CARLA frames,AVAILABLE,HIGH,C1.1643|C2.1643|C7.1643,,subsequent commands are delayed by implementation but not logged individually,TEMPORAL_DISTURBANCE_APPLICATION,CONFIGURED_REQUEST,SINGLE_APPLIED_EVENT_WITH_EXPLICIT_REQUEST,
EV.REACTION.1643,202607271643,L3/L4,T_R_observed_physical,893.8701152801514,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,t1 stable source timestamp to first sustained-deceleration sample t2,AVAILABLE,HIGH,C3.1643|C4.1643,,"physical-effect sample bracket [793.594, 893.870] ms",PHYSICAL_REACTION_INTERVAL,,,
EV.CHAIN.1643,202607271643,L3,sensor_to_control_trace_lineage_ms,352.614104,ms,TRACE_LINEAGE,monotonic trace anchored to source epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/trace/message_context/control.1218460.csv,trace_id=17293989273963333032; parent_trace_id=72224298898556384,AVAILABLE,HIGH,C3.1643|P_FUNC.1643|C7.1643,,strict lineage ends at Control output; physical t2 is Grade C association,CAUSE_EFFECT_LINEAGE,,,C_FULL_CHAIN_A_SOFTWARE_PREFIX
EV.FRESH.1643,202607271643,L2/L3,target_age_at_t2_and_response_gap,A=394.220;Gmax=99.263,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,"5 target Fusion outputs in [t1,t2]",AVAILABLE,HIGH,C2.1643|C3.1643,P_FUNC.1643|C7.1643,no independent freshness/gap requirement,FRESHNESS_CONTINUITY_DIAGNOSTIC,,,
EV.POSTGAP.1643,202607271643,L2/L3,post_t2_target_gap_max_ms,115.9060001373291,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,trace 17293989273963333049 to 17293989273963333050,AVAILABLE,HIGH,,P_FUNC.1643|C7.1643,starts after t2; cannot explain initial response endpoint,POST_T2_FRESHNESS_DEGRADATION,,,
EV.FUNC.1643,202607271643,P_FUNC,planning_constant_deceleration_fallback_count,21,events,OBSERVED_DERIVED,planning log wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/planning.log.INFO.20260727-164122.1218458,first fallback line 186593; first output line 186600,AVAILABLE,HIGH,P_FUNC.1643,P_FUNC.1643|C7.1643,fallback trajectory is nonempty/status_ok but prevents functional qualification,FUNCTIONAL_DEGRADATION,,,
EV.DRESPONSE.1643,202607271643,L5,D_response_wall_integral_data_observed_m,15.450549919780315,m,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,"trapezoidal integral of speed over [t1,t2] with endpoint samples",AVAILABLE,HIGH,C5.1643,,response distance is not requirement-constrained deadline debt,OBSERVED_RESPONSE_DISTANCE,,,
EV.COLLISION.1643,202607271643,L6,impact_speed_data_observed_mps,11.727517297502267,m/s,DIRECT_OBSERVED,Bridge wall epoch/CARLA,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_events_20260727164411.csv,CSV row 2; collision_seq=1; other_actor_id=155,AVAILABLE,HIGH,C6.1643|C7.1643,,outcome does not establish a timing deadline violation or timing causation,PHYSICAL_OUTCOME,,,
EV.NODEADLINE.1643,202607271643,P_DEADLINE/L4,qualified_primary_deadline_status,primary unavailable; unvalidated model available,status,MISSING,not applicable,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1643_tcps_pa_v3_1/tables/dynamic_deadline_construction.csv,DDL.1643.PRIMARY,MISSING,HIGH,P_DEADLINE.1643|C4.1643,P_DEADLINE.1643|C4.1643|C5.1643|C7.1643,"baseline model supports diagnostics only; no qualified tau_req, guarantee-loss point, or primary D_debt",DEADLINE_QUALIFICATION_GAP,,,
EV.MODEL_DEADLINE.1643,202607271643,P_DEADLINE/L4,tau_model_baseline_conservative_contact,149.95673155350855,ms,UNVALIDATED_MODEL,wall epoch construction,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1643_tcps_pa_v3_1/tables/run_level_model_predicted.csv,BASELINE_EMPIRICAL_CONSERVATIVE_CANDIDATE_DSAFE_0M,AVAILABLE,LOW,P_DEADLINE.1643|C4.1643,P_DEADLINE.1643|C4.1643|C7.1643,unvalidated post-hoc baseline model; not primary deadline evidence,MODEL_DEADLINE_DIAGNOSTIC,DISJOINT_BASELINE_CALIBRATION,SEVEN_BASELINE_RUNS,
EV.MODEL_DEBT.1643,202607271643,L5,D_debt_model_predicted_m,13.017889371300143,m,UNVALIDATED_MODEL,wall epoch observed velocity + model deadline,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1643_tcps_pa_v3_1/tables/run_level_model_predicted.csv,BASELINE_EMPIRICAL_CONSERVATIVE_CANDIDATE_DSAFE_0M,AVAILABLE,LOW,C5.1643,C5.1643|C7.1643,MODEL_TAINT; not requirement-constrained primary debt,MODEL_DISTANCE_DEBT_DIAGNOSTIC,DISJOINT_BASELINE_CALIBRATION,SEVEN_BASELINE_RUNS,
