segment,duration_ms,semantic,run_id,trace_id,parent_trace_id,clock_domain,evidence_class
sensor_to_preprocess_ingress,109.791,source data age before Preprocess entry,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
preprocess_processing,3.421632,Preprocess execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
preprocess_to_roi_edge,0.137824,edge/readiness delay,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
roi_processing,3.561824,map ROI execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
roi_to_ground_edge,0.112256,edge/readiness delay,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
ground_processing,10.409632,ground detection execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
ground_to_detection_wait,93.373312,wait/queue before Lidar Detection,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
lidar_detection_processing,96.03664,CenterPoint/Lidar Detection execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
detection_to_filter_edge,0.210528,edge/readiness delay,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
filter_processing,0.0856,detection filter execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
filter_to_tracking_edge,0.357088,edge/readiness delay,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
tracking_processing,0.269696,Lidar Tracking execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
tracking_to_fusion_edge,0.099232,edge/readiness delay,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
fusion_processing,1.475808,Multi-Sensor Fusion execution,202607271643,17293989273963333032,72224298898556384,monotonic_ns anchored to sensor wall/source time,TRACE_LINEAGE
