evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,semantic_role,reference_type,distribution_scope,causal_lineage_grade,clock_basis,source,locator,evidence_role
EV.CLOCK.1131,202607271131,P_CLOCK,clock_alignment_p95_residual_ms,0.6614327430725098,ms,OBSERVED_DERIVED,cross-domain alignment audit,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_actor_history_20260727113204.csv,156 CARLA simulation/wall pairs; 152 robust-fit inliers,AVAILABLE,HIGH,P_CLOCK.1131,,p95 bound; max residual includes impact-adjacent outliers,CLOCK_ALIGNMENT,,,,,,,
EV.PHASE.1131,202607271131,P_PHASE,active_phase_scan,not performed,status,MISSING,mixed,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131,single-run input inventory,MISSING,HIGH,,P_PHASE.1131|C7.1131,phase effect cannot be isolated,PHASE_AUDIT_GAP,,,,,,,
EV.TARGET.1131,202607271131,P_TARGET,target_identity_matched_frames,20,frames,TRACE_LINEAGE,wall epoch and trace ids,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004|/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_actor_history_20260727113204.csv,"target=11, trace=17293896665878496482, actor=155; median position error=1.689 m",AVAILABLE,HIGH,P_TARGET.1131,,other-actor history begins 399.215 ms after t_sample,TARGET_LINEAGE,,,,,,,
EV.FAULT.1131,202607271131,L1,bridge_fixed_delay_actual_wall_ms,300.046735,ms,DIRECT_OBSERVED,Bridge wall/monotonic/CARLA frame,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/scb_control_delay_20260727112916_095377.csv,APPLIED row sequence=1; requested=300 ms; 3 CARLA frames,AVAILABLE,HIGH,C1.1131|C2.1131|C7.1131,,subsequent commands are delayed by implementation but not logged individually,TEMPORAL_DISTURBANCE_APPLICATION,CONFIGURED_REQUEST,SINGLE_APPLIED_EVENT_WITH_EXPLICIT_REQUEST,,,,,
EV.REACTION.1131,202607271131,L3/L4,T_R_observed_physical,799.6358871459961,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,t_sample stable source epoch to first sustained-deceleration sample t_phys,AVAILABLE,HIGH,C3.1131|C4.1131,,"physical-effect sample bracket [699.455, 799.636] ms",PHYSICAL_REACTION_INTERVAL,,,,,,,
EV.CHAIN.1131,202607271131,L3,sensor_to_control_trace_lineage_ms,313.599344,ms,TRACE_LINEAGE,monotonic trace anchored to source epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/trace/message_context/control.476002.csv,trace_id=17293896665878496482; parent_trace_id=72131690813719833,AVAILABLE,HIGH,C3.1131|P_FUNC.1131|P_OBSERVABILITY.1131|C7.1131,,strict lineage ends at Control output; physical t2 is Grade C association,CAUSE_EFFECT_LINEAGE,,,C_FULL_CHAIN_A_SOFTWARE_PREFIX,,,,
EV.FRESH.1131,202607271131,L2/L3,target_age_at_t2_and_response_gap,A=400.421;Gmax=108.213,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,"5 target Fusion outputs in [t_sample,t_phys]",AVAILABLE,HIGH,C2.1131|C3.1131,P_FUNC.1131|C7.1131,no independent freshness/gap requirement,FRESHNESS_CONTINUITY_DIAGNOSTIC,,,,,,,
EV.POSTGAP.1131,202607271131,L2/L3,post_t2_target_gap_max_ms,507.43889808654785,ms,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,trace 17293896665878496499 to 17293896665878496500,AVAILABLE,HIGH,,P_FUNC.1131|C7.1131,starts after t2; cannot explain initial response endpoint,POST_T2_FRESHNESS_DEGRADATION,,,,,,,
EV.FUNC.1131,202607271131,P_FUNC,planning_constant_deceleration_fallback_count,20,events,OBSERVED_DERIVED,planning log wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/planning.log.INFO.20260727-112936.476000,first fallback line 227604; first output line 227611,AVAILABLE,HIGH,P_FUNC.1131,P_FUNC.1131|C7.1131,fallback trajectory is nonempty/status_ok but prevents functional qualification,FUNCTIONAL_DEGRADATION,,,,,,,
EV.DRESPONSE.1131,202607271131,L5,D_response_wall_integral_data_observed_m,13.432027958524642,m,OBSERVED_DERIVED,wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,"trapezoidal integral of speed over [t_sample,t_phys] with endpoint samples",AVAILABLE,HIGH,C5.1131,,response distance is not requirement-constrained deadline debt,OBSERVED_RESPONSE_DISTANCE,,,,,,,
EV.COLLISION.1131,202607271131,L6,impact_speed_data_observed_mps,7.988017222183252,m/s,DIRECT_OBSERVED,Bridge wall epoch/CARLA,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv,CSV row 2; collision_seq=1; other_actor_id=155,AVAILABLE,HIGH,C6.1131|C7.1131,,outcome does not establish a timing deadline violation or timing causation,PHYSICAL_OUTCOME,,,,,,,
EV.NODEADLINE.1131,202607271131,P_DEADLINE/L4,qualified_dynamic_deadline,unavailable,status,MISSING,not applicable,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/dynamic_deadline_construction.csv,DDL.1131.PRIMARY,MISSING,HIGH,P_DEADLINE.1131|C4.1131,P_DEADLINE.1131|C4.1131|C5.1131|C7.1131,"no qualified tau_req, guarantee-loss point, or primary D_debt",DEADLINE_QUALIFICATION_GAP,,,,,,,
EV.TIMESEM.1131,202607271131,P_OBSERVABILITY/L4,four_event_time_semantics,world/demand left-censored; observable untestable; sample observed,status,OBSERVED_DERIVED,wall epoch/source epoch,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/event_time_semantics_audit.csv,EV.STATIC_OBSTACLE.1131 four role rows,PARTIAL,HIGH,P_OBSERVABILITY.1131,P_DEADLINE.1131|C4.1131|C5.1131,no independent t_demand or t_observable,EVENT_TIME_SEMANTICS,,,,,,,
EV.OBSERVABILITY.1131,202607271131,P_OBSERVABILITY,qualified_observer_spec,missing,status,MISSING,not established,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/observability_audit.csv,velodyne64 observer audit,MISSING,HIGH,,P_OBSERVABILITY.1131|C4.1131,cannot allocate demand-to-sample exposure,OBSERVABILITY_QUALIFICATION_GAP,,,,,,,
EV.MODELDEADLINE.1131,202607271131,L4_MODEL_DIAGNOSTIC,sample_origin_residual_budget_sensitivity,center 0.000-618.822 ms; geometry sensitivity high 728.892 ms,ms,UNVALIDATED_MODEL,sample-relative wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/dynamic_contract_construction.csv,four baseline parameter-set rows,AVAILABLE,MEDIUM,C4.1131,P_DEADLINE.1131|C4.1131,post-run lock time; domain not validated; not demand-origin,MODEL_PREDICTED_DEADLINE_DIAGNOSTIC,,,,,,,
EV.COHERENCE.1131,202607271131,L3_C,bundle_coherence,raw skew 0 ms; induced state error unavailable,mixed,TRACE_LINEAGE,source epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/trace/fusion_inputs/perception.multi_sensor_fusion.476004.csv,fusion_trace_id=17293896665878496482,PARTIAL,HIGH,C3.1131,C7.1131,no induced-state-error reference/implementation model,PHYSICAL_COHERENCE_DIAGNOSTIC,,,,,,,
EV.ALLINST.LINEAGE.1131,202607271131,L2/L3,all_trace_lineage_instances,1763,stage-instances,TRACE_LINEAGE,source epoch + Orin monotonic_ns,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/all_instance_lineage_timing.csv,all 353 main-sensor Fusion traces; five lineage metrics with explicit missing rows,AVAILABLE,HIGH,C2.1131|C3.1131,,"within-run instances are temporal samples, not independent experimental replicates",CAUSE_EFFECT_LINEAGE,WITHIN_RUN_DISTRIBUTION,all eligible trace instances,A_TO_CONTROL,,,,
