run_id,event_id,event_kind,label,t_wall_s,relative_t1_ms,clock_domain,lineage_grade,source_file,source_locator,uncertainty_or_limit
202607271131,E00,temporal_stressor_onset,SCB first effective-brake trigger/receive,1785123095.9483583,-25997.26676940918,bridge wall epoch,A for logged APPLIED row; persistence from implementation documentation,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/scb_control_delay_20260727112916_095377.csv,"CSV APPLIED row, sequence=1",subsequent delayed commands suppressed from CSV
202607271131,E01,sensor_sample,t_sample: first frame of 3-frame stable target sequence,1785123121.945625,0.0,sensor source/wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,line 13408; trace_id=17293896665878496482,source epoch; not t_demand and not a primary safety-deadline origin
202607271131,E02,publish,stable Fusion output,1785123122.23851,292.88482666015625,wall epoch aligned from trace,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,line 13408; trace_id=17293896665878496482,log-header and trace E2E differ by 0.094 ms
202607271131,E03,publish,Prediction static-target output,1785123122.2425587,296.933650970459,wall epoch aligned from trace,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/prediction.log.INFO.20260727-112936.475996,line 358; trace_id=17293896665878496482,static semantics verified for 20/20 target observations
202607271131,E04,decision,Planning STOP for target 11,1785123122.250615,304.9898147583008,wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/planning.log.INFO.20260727-112936.476000,line 227588,STOP exists; subsequent speed optimizer falls back
202607271131,E05,publish,Planning fallback trajectory output,1785123122.254006,308.3808422088623,wall epoch,A,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/planning.log.INFO.20260727-112936.476000,line 227611,"status_ok=1, 98 points, but constant-deceleration fallback"
202607271131,E06,command,Control output for causal trace,1785123122.2592244,313.5993480682373,monotonic trace anchored to source wall time,A to Control output,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/trace/message_context/control.476002.csv,trace_id=17293896665878496482; cmd_write_enter/output_pub,command payload and event-local Bridge apply row absent
202607271131,E07,physical_effect,t2: first sustained deceleration sample,1785123122.745261,799.6358871459961,wall epoch,C from Control output to physical effect,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,first 2 consecutive intervals <= -0.5 m/s^2 plus 0.3 m/s confirmation,"sample bracket [699.455, 799.636] ms"
202607271131,E08,freshness_degradation,largest target Fusion output gap begins,1785123123.937633,1992.0079708099365,wall epoch,A for target Fusion outputs,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,trace 17293896665878496499 -> 17293896665878496500,"gap=507.439 ms; occurs after t2, not explanatory for initial response"
202607271131,E09,outcome,CARLA collision,1785123124.852247,2906.6219329833984,bridge wall epoch,direct physical outcome; causal attribution unresolved,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv,"CSV row 2, collision_seq=1","collision proves outcome, not deadline miss or sole cause"
