category,filename,absolute_original_path,handoff_relative_path,file_size,mtime,sha256,source_tool,time_range,frame_range,tid,description
perf_sched,perf.data,D:\data\202608271537\perf_run_cpu_stack_001\perf.data,raw/perf_sched/perf.data,5195351410,2026-08-27T16:48:08+08:00,1c366b895dd5751cb8d93c942cbec99573e60c883ff5f995c2c470959e77b9c5,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_record_command.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_record_command.txt,raw/perf_sched/perf_record_command.txt,41,2026-08-27T16:48:37+08:00,2353535f8959643a7c0e7616b0e57d7fe385058d477b8d6d2b263542b24884d6,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_record.stderr.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_record.stderr.txt,raw/perf_sched/perf_record.stderr.txt,128,2026-08-27T16:48:35+08:00,503636d7942f8f56c2a4b3cfbd851e16eb8ff699e853c32349151a6cc189d2b0,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_record.stdout.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_record.stdout.txt,raw/perf_sched/perf_record.stdout.txt,0,2026-08-27T16:48:36+08:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_script.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_script.txt,raw/perf_sched/perf_sched_script.txt,6912164234,2026-08-27T17:51:27+08:00,61b749bf46226165b12093aa9ba20f91ec9de4393250d15c759ddf99e46f9641,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_script.stderr.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_script.stderr.txt,raw/perf_sched/perf_sched_script.stderr.txt,0,2026-08-27T16:59:13+08:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_timehist.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_timehist.txt,raw/perf_sched/perf_sched_timehist.txt,4263056109,2026-08-27T19:06:48+08:00,9dbf02bbbb67866dea0e66d4dca2a394d590a45a475f3f28c9d34f84a3fe9696,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_timehist.stderr.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_timehist.stderr.txt,raw/perf_sched/perf_sched_timehist.stderr.txt,32,2026-08-27T17:51:27+08:00,f46425507c1032778f44627a942bec977337be1b8db933cf27056c1376e25b72,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_map.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_map.txt,raw/perf_sched/perf_sched_map.txt,1409977895,2026-08-27T16:59:13+08:00,966875ef50c0e03aa12863f7e3d51d99419e53964262740f0e99253974981167,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_map.stderr.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_map.stderr.txt,raw/perf_sched/perf_sched_map.stderr.txt,0,2026-08-27T16:48:38+08:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
perf_sched,perf_sched_latency.txt,D:\data\202608271537\perf_run_cpu_stack_001\perf_sched_latency.txt,raw/perf_sched/perf_sched_latency.txt,807735,2026-08-27T16:48:38+08:00,9011dc0519ab5712a788f834e67f359c265537ed58384f97d106d763caeefc22,perf_sched,run/capture 202608271537,capture-wide,,Capture-wide perf sched raw data or the collector-generated companion output; copied unchanged.
