run_id,display_name,group_name,maximum_positive_acceleration_data_observed_mps2,maximum_deceleration_data_observed_mps2,maximum_positive_acceleration_before_t2_data_observed_mps2,maximum_acceleration_after_t2_data_observed_mps2,maximum_deceleration_after_t2_data_observed_mps2,positive_acceleration_interval_count_after_t2,v1_data_observed_mps,v2_data_observed_mps,v2_minus_v1_data_observed_mps,acceleration_definition
202607271031,202607271031,baseline,0.9634952384353821,-26.469014453591136,0.019856164048315986,0.9634952384353821,-26.469014453591136,11,15.623173104457399,15.448675799688356,-0.17449730476904257,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271048,202607271048,baseline,1.7905540999372718,-25.320579901965647,1.7905540999372718,-1.514403295848363,-25.320579901965647,0,17.290539174968313,17.53282904191547,0.24228986694715715,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271054,202607271054,baseline,0.9837012292226541,-26.529844317968113,0.9837012292226541,-1.6826502552431837,-26.529844317968113,0,17.774502340040492,17.889392506895543,0.11489016685505149,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271059,202607271059,baseline,2.157647458244432,-21.948105873946016,2.157647458244432,-2.2334871744860134,-21.948105873946016,0,17.212188241491454,17.613807792308506,0.4016195508170526,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271104,202607271104,baseline,2.668280131788248,-24.49036263305022,2.668280131788248,-1.716675882250331,-24.49036263305022,0,17.062364098393616,17.17909294643764,0.11672884804402273,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271108,202607271108,baseline,1.2791355719701536,-25.589760082033415,1.2791355719701536,-1.9775755263242571,-25.589760082033415,0,17.431302629246872,17.58500813540814,0.15370550616126621,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271113,202607271113,baseline,2.1382132769472886,-21.061745329814208,2.074193293817179,2.1382132769472886,-21.061745329814208,1,17.215204788564396,17.504769327013804,0.2895645384494081,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271131,碰撞_1131,delay_300ms,3.8443020981092255,-11.136627086527866,3.8443020981092255,-1.6023548114703154,-11.136627086527866,0,16.080189309222355,17.50269243214682,1.4225031229244642,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271202,202607271202,delay_300ms,2.2571568266763324,-26.366745045272907,2.2571568266763324,-2.8984416388198837,-26.366745045272907,0,16.405255054323614,16.95918190379224,0.553926849468624,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271211,202607271211,delay_300ms,1.3516789348613163,-23.239265999850048,1.3516789348613163,-2.820678697236408,-23.239265999850048,0,16.840252260670148,17.06354072506548,0.22328846439533123,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
202607271643,碰撞_1643,delay_300ms,4.505839492146846,-6.170913504255664,4.505839492146846,-1.9150849918505184,-6.170913504255664,0,16.06976442378477,17.964115264485592,1.8943508407008238,Adjacent Localization speed difference divided by the corresponding wall-clock measurement-time difference; no smoothing or clipping.
