defeater_id,claim_id,description,type,evidence_ids,status,resolution,residual_risk,impact_on_claim,notes
D_TARGET.P_TARGET.1211,P_TARGET.1211,No CARLA actor history or collision truth anchors Apollo target 12 physically.,TARGET_MISMATCH,EV.TARGET.1211,OPEN,Archive actor history and target association.,physical identity uncertain,CAPS_AT_PARTIAL,Apollo-internal lineage remains usable.
D_FUNC.P_FUNC.1211,P_FUNC.1211,Planning speed optimization failed and emitted fallback.,FUNCTIONAL_FAILURE,EV.FUNC.1211,OPEN,Resolve fallback cause/acceptability.,functional and temporal factors coexist,CAPS_AT_PARTIAL,
D_DEADLINE.P_DEADLINE.1211,P_DEADLINE.1211,No qualified demand-origin deadline.,DEADLINE,EV.NODEADLINE.1211,OPEN,Qualify t_demand and braking envelope.,no primary deadline verdict,INVALIDATES,
D_PAYLOAD.C3.1211,C3.1211,No event-local Control payload/Bridge apply row for the selected trace.,PAYLOAD_LINEAGE,EV.CHAIN.1211|EV.CLOCK.1211,OPEN,Enable record and per-command Bridge logging.,suffix is temporally associated only,CAPS_AT_PARTIAL,
D_DEADLINE.C4.1211,C4.1211,Model residual budgets are not qualified requirements.,DEADLINE,EV.NODEADLINE.1211|EV.MODELDEADLINE.1211,OPEN,Prospectively lock/validate deadline construction.,model taint,INVALIDATES,
D_OUTCOME.C6.1211,C6.1211,No direct CollisionSensor/actor-history outcome evidence.,OUTCOME_CONFLICT,EV.OUTCOME.1211,OPEN,Archive direct outcome files.,noncollision conclusion is observed-derived,CAPS_AT_PARTIAL,
D_INITIAL_CLEARANCE.C7.1211,C7.1211,Alternative not isolated: INITIAL_CLEARANCE.,INITIAL_CLEARANCE,EV.OUTCOME.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_INITIAL_SPEED.C7.1211,C7.1211,Alternative not isolated: INITIAL_SPEED.,INITIAL_SPEED,EV.REACTION.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_BRAKING_CAPABILITY.C7.1211,C7.1211,Alternative not isolated: BRAKING_CAPABILITY.,BRAKING_CAPABILITY,EV.OUTCOME.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_FUNCTIONAL_FAILURE.C7.1211,C7.1211,Alternative not isolated: FUNCTIONAL_FAILURE.,FUNCTIONAL_FAILURE,EV.FUNC.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_TARGET_MISMATCH.C7.1211,C7.1211,Alternative not isolated: TARGET_MISMATCH.,TARGET_MISMATCH,EV.TARGET.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_DATA_FRESHNESS.C7.1211,C7.1211,Alternative not isolated: DATA_FRESHNESS.,DATA_FRESHNESS,EV.AGEGAP.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_UPDATE_GAP.C7.1211,C7.1211,Alternative not isolated: UPDATE_GAP.,UPDATE_GAP,EV.AGEGAP.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_SOLVER_FALLBACK.C7.1211,C7.1211,Alternative not isolated: SOLVER_FALLBACK.,SOLVER_FALLBACK,EV.FUNC.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_CLOCK.C7.1211,C7.1211,Alternative not isolated: CLOCK.,CLOCK,EV.CLOCK.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_PHASE.C7.1211,C7.1211,Alternative not isolated: PHASE.,PHASE,EV.PHASE.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_PREHAZARD_STATE.C7.1211,C7.1211,Alternative not isolated: PREHAZARD_STATE.,PREHAZARD_STATE,EV.FAULT.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_GEOMETRY.C7.1211,C7.1211,Alternative not isolated: GEOMETRY.,GEOMETRY,EV.OUTCOME.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
D_OUTCOME_CONFLICT.C7.1211,C7.1211,Alternative not isolated: OUTCOME_CONFLICT.,OUTCOME_CONFLICT,EV.OUTCOME.1211,OPEN,Requires targeted measurement/control test.,unique attribution unavailable,CAPS_AT_PARTIAL,Single-run backward diagnosis cannot refute this alternative.
