claim_id,layer,run_id_or_group,proposition,prerequisite_claim_ids,required_evidence_classes,supporting_evidence_ids,challenging_evidence_ids,defeater_ids,inference_rule_id,verdict,confidence,confidence_ceiling,maximum_claim_level,residual_uncertainty,allowed_language,forbidden_language,causal_lineage_grade,gate_inputs,gate_metrics,admissible_evidence,gate_criterion,next_gate_condition
P_CLOCK.1211,P_CLOCK,202607271211,Cross-host timestamps are qualified for event-local subtraction.,,,EV.CLOCK.1211,EV.CLOCK.1211,,IR-P_CLOCK,NOT_TESTABLE,NONE,NONE,1,No dual-clock history/event-local apply mapping.,Same-host trace ordering is usable; cross-host suffix timing is unqualified.,Cross-host timestamps are exact.,,EV.CLOCK.1211,bounded cross-host clock audit,,bounded cross-host clock audit,Collect PTP/NTP residuals and dual timestamps for event-local commands.
P_PHASE.1211,P_PHASE,202607271211,Periodic phase sensitivity is tested and isolated.,,,EV.PHASE.1211,EV.PHASE.1211,,IR-P_PHASE,NOT_TESTABLE,NONE,NONE,1,No phase scan or matched repeats.,Phase remains an unresolved alternative.,Phase is the root cause.,,EV.PHASE.1211,controlled phase scan,,controlled phase scan,Collect matched repeats over phase offsets.
P_OBSERVABILITY.1211,P_OBSERVABILITY,202607271211,Demand observability and the first causal sample are independently qualified.,P_CLOCK.1211,TRACE_LINEAGE,EV.TIMESEM.1211|EV.CHAIN.1211,EV.OBSERVABILITY.1211,,IR-P_OBSERVABILITY,NOT_TESTABLE,NONE,NONE,1,t_sample exists; t_demand/t_observable do not.,Only sample-relative timing is qualified.,t_sample equals t_demand.,,EV.TIMESEM.1211|EV.CHAIN.1211,observer model plus source epoch,TRACE_LINEAGE,observer model plus source epoch,Provide FOV/occlusion/range/residence model and independent demand predicate.
P_TARGET.1211,P_TARGET,202607271211,The relevant Apollo target identity is continuous and physically anchored.,,TRACE_LINEAGE,EV.TARGET.1211,EV.TARGET.1211,D_TARGET.P_TARGET.1211,IR-P_TARGET,PARTIAL,MEDIUM,MEDIUM,2,Apollo target 12 is continuous; CARLA actor truth is absent.,Target 12 is lineage-consistent inside Apollo only.,Target 12 is proven identical to a CARLA actor.,,EV.TARGET.1211,same target ID/trace plus physical actor association,TRACE_LINEAGE,same target ID/trace plus physical actor association,Archive CARLA actor history and CollisionSensor data.
P_FUNC.1211,P_FUNC,202607271211,Relevant functional behavior is fully qualified and does not independently explain the low margin.,P_TARGET.1211,OBSERVED_DERIVED,EV.FUNC.1211|EV.CHAIN.1211,EV.FUNC.1211|EV.AGEGAP.1211,D_FUNC.P_FUNC.1211,IR-P_FUNC,PARTIAL,MEDIUM,MEDIUM,2,Speed optimization fallback and payload continuity gaps remain.,"STOP exists, but functional correctness is partial.","Functionally correct, temporally wrong.",,EV.FUNC.1211|EV.CHAIN.1211,valid target-correct trajectory and command/apply continuity,OBSERVED_DERIVED,valid target-correct trajectory and command/apply continuity,Resolve fallback semantics and archive record/payload continuity.
P_DEADLINE.1211,P_DEADLINE,202607271211,An independently qualified prospective dynamic physical deadline is available.,P_TARGET.1211,INDEPENDENT_REQUIREMENT,EV.NODEADLINE.1211,EV.NODEADLINE.1211|EV.TIMESEM.1211|EV.MODELDEADLINE.1211,D_DEADLINE.P_DEADLINE.1211,IR-P_DEADLINE,NOT_TESTABLE,NONE,NONE,1,No t_demand and model parameters were not prospectively locked/validated.,Primary deadline is unavailable; sample model sensitivity is separate.,The run violated a qualified physical deadline.,,EV.NODEADLINE.1211,qualified prospective deadline interval,INDEPENDENT_REQUIREMENT,qualified prospective deadline interval,"Establish t_demand and prospectively locked, validated braking bounds."
C1.1211,L1,202607271211,A configured 300 ms Bridge fixed-delay stressor entered the command path.,,DIRECT_OBSERVED,EV.FAULT.1211,,,IR-C1,PASS,HIGH,HIGH,3,Only one APPLIED command is individually archived.,The external Bridge stressor entered the deployed path.,Apollo has an intrinsic real-time defect.,,EV.FAULT.1211,APPLIED row with actual delay,DIRECT_OBSERVED,APPLIED row with actual delay,Per-command logging is required for event-local propagation.
C2.1211,L2,202607271211,The configured Bridge delay manifested as a measured local delay event.,C1.1211,DIRECT_OBSERVED,EV.FAULT.1211,,,IR-C2,PASS,HIGH,HIGH,3,A/G have no architectural threshold; research anomalies are separate.,Local Bridge delay fidelity is established.,All observed gaps are requirement violations.,,EV.FAULT.1211,actual delay against configured request,DIRECT_OBSERVED,actual delay against configured request,Add architectural A/G contracts for strong freshness/continuity verdicts.
C3.1211,L3,202607271211,The selected target propagates through Control and is temporally associated with physical response.,C1.1211|C2.1211|P_CLOCK.1211|P_TARGET.1211,TRACE_LINEAGE,EV.CHAIN.1211|EV.REACTION.1211|EV.LOCALWAIT.1211|EV.TARGET.1211|EV.COHERENCE.1211,EV.CLOCK.1211,D_PAYLOAD.C3.1211,IR-C3,PARTIAL_PASS,NONE,NONE,2,Grade A software prefix; cross-host/event-local suffix remains Grade C/unqualified.,Software propagation and sample-relative physical association are supported.,The exact Control command caused t_phys.,C,EV.CHAIN.1211|EV.REACTION.1211|EV.LOCALWAIT.1211|EV.TARGET.1211|EV.COHERENCE.1211,same-trace software prefix plus compatible physical endpoint,TRACE_LINEAGE,same-trace software prefix plus compatible physical endpoint,Archive event-local Bridge apply and qualify cross-host clocks.
C4.1211,L4,202607271211,Observed physical response exceeded a qualified dynamic temporal contract.,C3.1211|P_DEADLINE.1211,OBSERVED_DERIVED,EV.REACTION.1211|EV.NODEADLINE.1211|EV.MODELDEADLINE.1211,EV.NODEADLINE.1211|EV.TIMESEM.1211|EV.OBSERVABILITY.1211|EV.MODELDEADLINE.1211,D_DEADLINE.C4.1211,IR-C4,NOT_TESTABLE,NONE,NONE,1,Only sample-relative model crossings exist.,"All declared sample-origin model scenarios miss, but primary C4 is not testable.",The 700.167 ms response is a qualified deadline violation.,,EV.REACTION.1211|EV.NODEADLINE.1211|EV.MODELDEADLINE.1211,observed demand-relative T_R versus qualified tau_req,OBSERVED_DERIVED,observed demand-relative T_R versus qualified tau_req,Qualify a demand-origin prospective deadline.
