requirement_id,run_id_or_group,requirement_name,requirement_value,unit,requirement_provenance,pre_registered,external_or_internal,safety_meaning,deadline_type,evidence_class,tau_req_low_ms,tau_req_center_ms,tau_req_high_ms,validation_scope,p_deadline_qualification,notes
REQ.RETRO.COLLISION.202607271031,202607271031,same-run reconstructed collision-avoidance budget,640.7883522772328,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,640.7883522772328,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271031,202607271031,same-run reconstructed 6 m budget,256.7434492422559,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,256.7434492422559,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271048,202607271048,same-run reconstructed collision-avoidance budget,504.6235461644878,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,504.6235461644878,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271048,202607271048,same-run reconstructed 6 m budget,157.61296776180495,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,157.61296776180495,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271054,202607271054,same-run reconstructed collision-avoidance budget,456.0916344175206,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,456.0916344175206,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271054,202607271054,same-run reconstructed 6 m budget,118.52944082046872,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,118.52944082046872,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271059,202607271059,same-run reconstructed collision-avoidance budget,566.5569909545137,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,566.5569909545137,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271059,202607271059,same-run reconstructed 6 m budget,217.96679917770717,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,217.96679917770717,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271104,202607271104,same-run reconstructed collision-avoidance budget,639.0472248294475,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,639.0472248294475,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271104,202607271104,same-run reconstructed 6 m budget,287.3960723045235,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,287.3960723045235,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271108,202607271108,same-run reconstructed collision-avoidance budget,504.6556845074593,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,504.6556845074593,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271108,202607271108,same-run reconstructed 6 m budget,160.44732970940868,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,160.44732970940868,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271113,202607271113,same-run reconstructed collision-avoidance budget,498.5079467081604,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,498.5079467081604,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271113,202607271113,same-run reconstructed 6 m budget,149.9788369071756,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,149.9788369071756,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271131,202607271131,same-run reconstructed collision-avoidance budget,,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271131,202607271131,same-run reconstructed 6 m budget,,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271202,202607271202,same-run reconstructed collision-avoidance budget,749.5795586026107,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,749.5795586026107,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.SAFETY6M.202607271202,202607271202,same-run reconstructed 6 m budget,383.84309305350024,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,internal 6 m analysis margin,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,383.84309305350024,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
REQ.RETRO.COLLISION.202607271206,202607271206,same-run reconstructed collision-avoidance budget,720.2664666974033,ms,same-run post-outcome/full-trajectory reconstruction,FALSE,INTERNAL_ANALYSIS,zero-clearance reconstructed budget,RETROSPECTIVE_PHYSICAL,RETROSPECTIVE_RECONSTRUCTION,,720.2664666974033,,SAME_RUN_ONLY,NOT_QUALIFIED_PRIMARY,Sensitivity/reconstruction only; cannot establish primary C4.
